#2018-10-10
#16:47
#Balayage par: Administrateur
#ScanTask Size: 10,10


#X Axis.Position(Units)        	Y Axis.Position(Units)        	LeafMagnetometer.X(nT)        	LeafMagnetometer.Y(nT)        	LeafMagnetometer.Z(nT)        	LeafMagnetometer.Total(nT)    
40E+0	90E+0	16.846009643554687E+3	-6.3973851928710937E+3	-52.95732275390625E+3	55.939190949269192E+3
50E+0	90E+0	16.871968872070312E+3	-6.3116113891601562E+3	-53.14731787109375E+3	56.117177685296192E+3
60E+0	90E+0	16.896355102539062E+3	-6.2249490966796875E+3	-53.3141708984375E+3	56.272889117821236E+3
70E+0	90E+0	16.906502319335937E+3	-6.1301204223632812E+3	-53.48676708984375E+3	56.42909660465581E+3
80E+0	90E+0	16.910636352539062E+3	-6.0232918701171875E+3	-53.65849560546875E+3	56.581659953259113E+3
90E+0	90E+0	16.92006201171875E+3	-5.9177318725585937E+3	-53.8174326171875E+3	56.7241093081324E+3
100E+0	90E+0	16.923325073242187E+3	-5.7971824340820312E+3	-53.965982421875E+3	56.853618742540457E+3
10E+0	100E+0	16.864725341796875E+3	-6.3508655395507812E+3	-53.10614892578125E+3	56.080448297205876E+3
20E+0	100E+0	16.71993994140625E+3	-6.5206257934570312E+3	-52.408640625E+3	55.396218834263418E+3
30E+0	100E+0	16.743865844726562E+3	-6.4643328857421875E+3	-52.60067724609375E+3	55.578559688786066E+3
40E+0	100E+0	16.762677368164062E+3	-6.38045458984375E+3	-52.79622900390625E+3	55.759661914407217E+3
50E+0	100E+0	16.7886787109375E+3	-6.301712646484375E+3	-52.99102734375E+3	55.943012463216059E+3
60E+0	100E+0	16.803594604492187E+3	-6.2155255737304687E+3	-53.15959912109375E+3	56.097567407885355E+3
70E+0	100E+0	16.820822143554687E+3	-6.1302162475585937E+3	-53.3223330078125E+3	56.247588908240781E+3
80E+0	100E+0	16.825114624023437E+3	-6.0290968017578125E+3	-53.48357177734375E+3	56.39084358313214E+3
90E+0	100E+0	16.835197143554687E+3	-5.9211300659179687E+3	-53.641751953125E+3	56.532483539494242E+3
100E+0	100E+0	16.839561889648437E+3	-5.8034268798828125E+3	-53.79079345703125E+3	56.663043287909677E+3
