#2018-10-10
#16:51
#Balayage par: Administrateur
#ScanTask Size: 10,10


#X Axis.Position(Units)        	Y Axis.Position(Units)        	LeafMagnetometer.X(nT)        	LeafMagnetometer.Y(nT)        	LeafMagnetometer.Z(nT)        	LeafMagnetometer.Total(nT)    
100E+0	30E+0	17.77648974609375E+3	-4.9709938354492187E+3	-55.1451611328125E+3	58.15241745952046E+3
10E+0	40E+0	17.805637451171875E+3	-5.6146080322265625E+3	-54.149421875E+3	57.277615152502454E+3
20E+0	40E+0	17.783030883789062E+3	-5.8236133422851562E+3	-53.46477294921875E+3	56.644796171166701E+3
30E+0	40E+0	17.78500244140625E+3	-5.8228467407226562E+3	-53.46125732421875E+3	56.642018592625362E+3
40E+0	40E+0	17.790922607421875E+3	-5.7161385498046875E+3	-53.723685546875E+3	56.880804882985219E+3
50E+0	40E+0	17.799857666015625E+3	-5.6146572875976562E+3	-53.949419921875E+3	57.086772536426106E+3
60E+0	40E+0	17.814810302734375E+3	-5.5112867431640625E+3	-54.15155810546875E+3	57.272449079831618E+3
70E+0	40E+0	17.816134643554687E+3	-5.3945786743164062E+3	-54.36418798828125E+3	57.462869983887089E+3
80E+0	40E+0	17.812809204101562E+3	-5.2678364868164062E+3	-54.5640576171875E+3	57.639249017835224E+3
90E+0	40E+0	17.8024921875E+3	-5.1362865600585937E+3	-54.751005859375E+3	57.801238850933369E+3
100E+0	40E+0	17.796930419921875E+3	-4.9908973388671875E+3	-54.924521484375E+3	57.951214818933251E+3
10E+0	50E+0	17.809023681640625E+3	-5.6143162841796875E+3	-53.95820361328125E+3	57.097904661286266E+3
20E+0	50E+0	17.763208251953125E+3	-5.8178256225585937E+3	-53.2867587890625E+3	56.469971551877446E+3
30E+0	50E+0	17.764464599609375E+3	-5.8219591674804687E+3	-53.28135546875E+3	56.465694161614287E+3
40E+0	50E+0	17.7735830078125E+3	-5.7171456298828125E+3	-53.5407216796875E+3	56.702692149669958E+3
50E+0	50E+0	17.787333251953125E+3	-5.6191925659179687E+3	-53.7566328125E+3	56.901146693595408E+3
60E+0	50E+0	17.801813232421875E+3	-5.5143632202148437E+3	-53.95776953125E+3	57.08549811818327E+3
70E+0	50E+0	17.807465942382812E+3	-5.4047940063476562E+3	-54.15960546875E+3	57.267625040139479E+3
80E+0	50E+0	17.803383666992187E+3	-5.280489501953125E+3	-54.35728173828125E+3	57.441783963395654E+3
90E+0	50E+0	17.793047973632812E+3	-5.1519063110351562E+3	-54.53783544921875E+3	57.597834999909181E+3
100E+0	50E+0	17.79008447265625E+3	-5.01098828125E+3	-54.712521484375E+3	57.749957605319185E+3
10E+0	60E+0	17.798831665039062E+3	-5.6259345092773437E+3	-53.751796875E+3	56.900847986143664E+3
20E+0	60E+0	17.720683471679687E+3	-5.8112139282226562E+3	-53.112537109375E+3	56.291516845872429E+3
30E+0	60E+0	17.722037841796875E+3	-5.8145962524414062E+3	-53.119111328125E+3	56.298494922991405E+3
40E+0	60E+0	17.734154296875E+3	-5.7147080688476562E+3	-53.36375341796875E+3	56.52299419956086E+3
50E+0	60E+0	17.753096923828125E+3	-5.6224027099609375E+3	-53.56895166015625E+3	56.713463887094091E+3
60E+0	60E+0	17.764059204101562E+3	-5.5217191162109375E+3	-53.7632060546875E+3	56.890542739680051E+3
70E+0	60E+0	17.771752685546875E+3	-5.4132830200195312E+3	-53.96695703125E+3	57.075141379175016E+3
80E+0	60E+0	17.770782836914062E+3	-5.2977957153320312E+3	-54.148162109375E+3	57.235402912678044E+3
90E+0	60E+0	17.767728271484375E+3	-5.1747045288085937E+3	-54.32141748046875E+3	57.387164895636277E+3
100E+0	60E+0	17.760810913085937E+3	-5.0339745483398437E+3	-54.5107509765625E+3	57.551801225932504E+3
10E+0	70E+0	17.761619140625E+3	-5.6080270385742187E+3	-53.6027158203125E+3	56.746603688929201E+3
20E+0	70E+0	17.663210693359375E+3	-5.80983349609375E+3	-52.95623779296875E+3	56.125812269346672E+3
30E+0	70E+0	17.66200146484375E+3	-5.8111058349609375E+3	-52.9522099609375E+3	56.121762529345855E+3
40E+0	70E+0	17.68262451171875E+3	-5.7175853881835937E+3	-53.1941806640625E+3	56.3470261688229E+3
50E+0	70E+0	17.701943969726562E+3	-5.6256089477539062E+3	-53.3952177734375E+3	56.533670772010417E+3
60E+0	70E+0	17.712354125976562E+3	-5.5287677612304687E+3	-53.58119482421875E+3	56.703083057623764E+3
70E+0	70E+0	17.7203564453125E+3	-5.4255178833007812E+3	-53.773728515625E+3	56.877602644845021E+3
80E+0	70E+0	17.714993041992187E+3	-5.3090064086914062E+3	-53.96253466796875E+3	57.043510446883287E+3
90E+0	70E+0	17.721415649414062E+3	-5.1938984985351562E+3	-54.1359169921875E+3	57.19897799141438E+3
100E+0	70E+0	17.71544921875E+3	-5.0628421630859375E+3	-54.29974755859375E+3	57.340496748756966E+3
10E+0	80E+0	17.703690551757812E+3	-4.9232894287109375E+3	-54.47504296875E+3	57.490783008348939E+3
20E+0	80E+0	17.595453491210937E+3	-5.8021055297851562E+3	-52.7995068359375E+3	55.955810655698733E+3
30E+0	80E+0	17.597686157226562E+3	-5.8060558471679687E+3	-52.79615771484375E+3	55.953762265377496E+3
40E+0	80E+0	17.61671826171875E+3	-5.7132643432617187E+3	-53.0290439453125E+3	56.170010180243094E+3
50E+0	80E+0	17.633184936523437E+3	-5.6235899658203125E+3	-53.2287822265625E+3	56.354748551023113E+3
60E+0	80E+0	17.6452802734375E+3	-5.5305060424804687E+3	-53.41050244140625E+3	56.521010599082408E+3
70E+0	80E+0	17.662671264648437E+3	-5.4377151489257812E+3	-53.58777099609375E+3	56.684993376229497E+3
80E+0	80E+0	17.660803100585937E+3	-5.2125462646484375E+3	-53.935892578125E+3	56.992592267142958E+3
90E+0	80E+0	17.6572197265625E+3	-5.209243896484375E+3	-53.9517744140625E+3	57.006210988717175E+3
100E+0	80E+0	17.65888623046875E+3	-5.0926759033203125E+3	-54.09868115234375E+3	57.135272884293823E+3
10E+0	90E+0	17.6417529296875E+3	-5.6133358764648437E+3	-53.25985009765625E+3	56.385753369868893E+3
20E+0	90E+0	17.52184375E+3	-5.7943209838867187E+3	-52.64941845703125E+3	55.790239898399348E+3
30E+0	90E+0	17.524677001953125E+3	-5.794997314453125E+3	-52.64501025390625E+3	55.787039618509036E+3
40E+0	90E+0	17.53308935546875E+3	-5.704150146484375E+3	-52.8756005859375E+3	55.998000506051539E+3
50E+0	90E+0	17.5546044921875E+3	-5.6206802368164062E+3	-53.06520849609375E+3	56.175376786653556E+3
60E+0	90E+0	17.570237182617187E+3	-5.5354236450195312E+3	-53.2402041015625E+3	56.337145173136567E+3
70E+0	90E+0	17.580365478515625E+3	-5.4366741943359375E+3	-53.42536767578125E+3	56.505725189271725E+3
80E+0	90E+0	17.579466186523437E+3	-5.3316591186523437E+3	-53.600884765625E+3	56.661446947687953E+3
90E+0	90E+0	17.578896850585937E+3	-5.2212830200195312E+3	-53.7679287109375E+3	56.809065819356903E+3
100E+0	90E+0	17.581551391601562E+3	-5.1029476928710937E+3	-53.92202587890625E+3	56.94502908870612E+3
10E+0	100E+0	17.558032104492187E+3	-5.6228405151367187E+3	-53.07446044921875E+3	56.185406530612468E+3
20E+0	100E+0	17.422935913085937E+3	-5.7829137573242187E+3	-52.511728515625E+3	55.628075960193761E+3
30E+0	100E+0	17.425899658203125E+3	-5.7857725830078125E+3	-52.51607177734375E+3	55.633401163664428E+3
40E+0	100E+0	17.44317333984375E+3	-5.7051602172851562E+3	-52.7194208984375E+3	55.822493633218459E+3
50E+0	100E+0	17.464849487304687E+3	-5.6265226440429687E+3	-52.90094140625E+3	55.992756955304714E+3
60E+0	100E+0	17.470946533203125E+3	-5.53524462890625E+3	-53.0898984375E+3	56.16414055415352E+3
70E+0	100E+0	17.482093505859375E+3	-5.4403450317382812E+3	-53.266103515625E+3	56.324943325208922E+3
80E+0	100E+0	17.48897412109375E+3	-5.3435283203125E+3	-53.4293154296875E+3	56.472202977737674E+3
90E+0	100E+0	17.485942504882812E+3	-5.2387359619140625E+3	-53.592396484375E+3	56.615792925168367E+3
100E+0	100E+0	17.47943310546875E+3	-5.1197039184570312E+3	-53.753224609375E+3	56.755188732833456E+3
